Chart / Sheet,Source Name,URL,Notes
01 Cafés by State,Australian Bureau of Statistics — Counts of Australian Businesses 2024,https://www.abs.gov.au/statistics/economy/business-indicators/counts-australian-businesses-including-entries-and-exits,"Cafés by state, FY2024"
02 Café Growth 2017–2024,ABS via Statista,https://www.statista.com/topics/4868/coffee-market-in-australia/,Annual café count trend
03 Industry Revenue,IBISWorld — Cafés & Coffee Shops in Australia 2026,https://www.ibisworld.com/au/industry/cafes-coffee-shops/4121/,"Revenue 2004–2026, use uni library for access"
04 Coffee Preferences,Statista — Australian coffee market,https://www.statista.com/topics/4868/coffee-market-in-australia/,Preferred coffee types by % of Australians
05 Flat White Price by City,Square Australia & Finder.com.au,https://squareup.com/au/townsquare/coffee-price-australia | https://www.finder.com.au/cost-of-coffee-australia,Approximate — aggregated from multiple surveys
06 Import Origins,Statista — Australian coffee import value,https://www.statista.com/statistics/696704/australia-coffee-import-value/,"Import share by country of origin, 2023–2024"
07 Consumer Demographics,YouGov Australia — Coffee drinking habits survey,https://au.yougov.com/food/articles/42208-coffee-drinking-habits-australia,"% drinking coffee daily by age group, July 2024"
08 Melbourne vs World,WorldMetrics — Global café density report 2025,https://worldmetrics.org/coffee-shops-per-capita-by-country/,Cafés per 100k population by city
09 Daily Cups Consumed,Mordor Intelligence — Australia Coffee Market Report 2025,https://www.mordorintelligence.com/industry-reports/australia-coffee-market,Daily cups consumed nationally 2015–2024
10 Key Stats,"Mixed — ABS, IBISWorld, YouGov, WorldMetrics, Mordor Intelligence",See individual sheets above,Summary callout statistics
09 Café Hourly Traffic,Synthesised based on industry patterns,N/A,Hourly traffic estimates modelled from published café traffic patterns (Square Australia Hospitality Index 2023)
10 Melbourne CLUE Map,City of Melbourne — Census of Land Use and Employment (CLUE),2024,https://data.melbourne.vic.gov.au/explore/dataset/cafes-and-restaurants-with-seating-capacity/
